,Date_time,date_documented,Year,Month,Hour,Season,Country_Code,Country,Region,Locale,latitude,longitude,UFO_shape,length_of_encounter_seconds,Encounter_Duration,Description;;
92,1999-10-10 23:45:00,10/19/1999,1999,10,23,Autumn,USA,United States,Michigan,Lewiston,44.8838889,-84.3055556,Oval,2700.0,45 minutes,Oval shaped with lights all around it in a haze with several smaller lights flying all around it.;;
93,2000-10-10 03:00:00,12/2/2000,2000,10,3,Autumn,USA,United States,Missouri,Perryville,37.7241667,-89.8611111,Oval,180.0,3 minutes,The craft was big&#44 orange&#44 and oval shaped.;;
94,2000-10-10 06:15:00,12/2/2000,2000,10,6,Autumn,USA,United States,Florida,Boynton Beach,26.525,-80.0666667,Other,10.0,10 seconds,Unusual light formation moving extremely fast across the sky.;;
95,2000-10-10 07:30:00,12/2/2000,2000,10,7,Autumn,CAN,Canada,Prince Edward Island,Victoria,46.216667,-63.483333,Cylinder,30.0,30seconds,Smooth Shiny Cylinder;;
96,2000-10-10 16:00:00,12/2/2000,2000,10,16,Autumn,USA,United States,Wisconsin,Juneau,43.40555,-88.705104,Triangle,45.0,45 seconds,5 bight light V shaped;;
97,2000-10-10 20:20:00,12/2/2000,2000,10,20,Autumn,USA,United States,Missouri,Saint Louis,38.627003,-90.199404,Oval,15.0,15 seconds,Driving on Hyw.141 at Hyw. 44 and going East&#44 I witnessed to my right a glowing orb of light streak horizontally from East to West at a;;
98,2000-10-10 20:30:00,12/2/2000,2000,10,20,Autumn,USA,United States,Missouri,Brinktown,38.1266667,-92.0844444,Light,1800.0,30 min.,3 bright golden lights moving independently above the tree line flaring and fading intermittently for approx. 15 min.;;
99,2000-10-10 21:30:00,12/2/2000,2000,10,21,Autumn,USA,United States,Kentucky,Florence,38.9988889,-84.6266667,Light,5.0,4-5 seconds,Two objects traveling side by side pass over&#44 as one begins to zig&#44 zag it&#39s path.;;
100,2000-10-10 21:30:00,2/11/2003,2000,10,21,Autumn,USA,United States,Washington,Seattle,47.6063889,-122.3308333,Unknown,10.0,10 sec,Dark object in the shape of a (4) after dusk in West Seattle;;
101,2000-10-10 22:00:00,5/12/2009,2000,10,22,Autumn,USA,United States,Washington,Port Orchard,47.5405556,-122.635,Diamond,60.0,1min,One night my window started to flash;;
102,2001-10-10 03:00:00,7/1/2002,2001,10,3,Autumn,USA,United States,Iowa,Rockwell City,42.3952778,-94.6336111,Triangle,240.0,4 min.s,Large&#44silent&#44slow&#44low to the ground dull-black Triangle UFO with round red lights at it&#39s corners that were off .I drew it.;;
103,2001-10-10 04:33:00,11/20/2001,2001,10,4,Autumn,AUS,Australia,New South Wales,Sydney,-33.861481,151.205475,Formation,180.0,3 minutes,formation and impact;;
104,2001-10-10 20:10:00,5/12/2011,2001,10,20,Autumn,CAN,Canada,British Columbia,Vancouver,49.25,-123.133333,Other,300.0,+5 minutes,I observed an green object significantly above a house with the address ((deleted)) Dunbar Street.;;
105,2001-10-10 20:35:00,11/20/2001,2001,10,20,Autumn,USA,United States,California,Hayward,37.6688889,-122.0797222,Circle,120.0,2/min.,FALLING STAR  STOPS  &#39SHOTS OUT  DOZENS OF RED POINTS OF LIGHT;;
106,2001-10-10 21:15:00,11/20/2001,2001,10,21,Autumn,USA,United States,Iowa,East Ottumwa,41.0041667,-92.3736111,Rectangle,300.0,3-5 minutes,We saw a square object at night&#44  which had 2 blue &amp; 2 red lights at corners&#44 hovering in sky above us.;
107,2001-10-10 21:30:00,11/20/2001,2001,10,21,Autumn,USA,United States,California,Fresno,36.7477778,-119.7713889,Changing,900.0,15 min. apprx,Objects were sighted driving north on Highway 5 in California&#39s central valley after night fall&#44 not far past &quot;Kettleman/Fresno&quot; exit s
108,2001-10-10 22:00:00,11/20/2001,2001,10,22,Autumn,USA,United States,Arizona,Phoenix,33.4483333,-112.0733333,Triangle,60.0,less then a minute,Triangle shaped craft spotted flying west to east over mid town Phoenix on 10/10/01 at 22:00 hours 4 light dim making no sounellow;;
109,2001-10-10 23:00:00,7/26/2002,2001,10,23,Autumn,USA,United States,Virginia,Virginia Beach,36.8527778,-75.9783333,Triangle,30.0,30 seconds,shaped like a stealth bomber (boomerang like&#44 but more triangluar) flat-black in color&#44 made a deep humming sound either really low to;;
110,2002-10-10 00:01:00,10/15/2002,2002,10,0,Autumn,USA,United States,Wisconsin,Hayward,46.0130556,-91.4844444,Flash,43.0,0:43,we saw pure a light that occasionaly split into 3 to 4 different lights.;;
111,2002-10-10 02:00:00,10/15/2002,2002,10,2,Autumn,USA,United States,Oregon,Philomath,44.5402778,-123.3663889,Unknown,5.0,about5seconds,i watched on the portland news that the space shuttle would be visiable and went to philomath oregon to what was known to be the apple;;
112,2002-10-10 04:00:00,10/28/2002,2002,10,4,Autumn,AUS,Australia,South Australia,Adelaide,-34.928661,138.598633,Circle,600.0,10 mins,one light became 3;;
113,2002-10-10 06:00:00,10/15/2002,2002,10,6,Autumn,USA,United States,Washington,Seattle,47.6063889,-122.3308333,Sphere,90.0,90 seconds,Light falls from sky;;
114,2002-10-10 19:45:00,10/15/2002,2002,10,19,Autumn,CAN,Canada,Prince Edward Island,Victoria,46.216667,-63.483333,Unknown,120.0,2 minutes approx,bright white light with black outline around it moving soundlessly and slowly from north banking east and disappearing upward.;;
115,2002-10-10 20:30:00,10/15/2002,2002,10,20,Autumn,USA,United States,Ohio,Norwood,39.1619444,-84.4569444,Other,1800.0,30 minutes,Large octagon blue lights on rim red center light hovers over downtown Cincinnati thursday October 10.;;
